t,θ1,ω1,θ2,ω2
0.0000,1.000000,0.000000,0.500000,0.000000
0.0100,0.999497,-0.100688,0.500207,0.041352
0.0200,0.997986,-0.201418,0.500828,0.082871
0.0300,0.995468,-0.302231,0.501865,0.124720
0.0400,0.991941,-0.403164,0.503324,0.167057
0.0500,0.987404,-0.504252,0.505208,0.210030
0.0600,0.981855,-0.605522,0.507527,0.253777
0.0700,0.975293,-0.706994,0.510287,0.298415
0.0800,0.967715,-0.808677,0.513498,0.344041
0.0900,0.959119,-0.910566,0.517171,0.390727
0.1000,0.949503,-1.012638,0.521317,0.438508
0.1100,0.938866,-1.114847,0.525945,0.487377
0.1200,0.927206,-1.217121,0.531068,0.537281
0.1300,0.914523,-1.319353,0.536694,0.588100
0.1400,0.900819,-1.421392,0.542832,0.639647
0.1500,0.886097,-1.523041,0.549488,0.691648
0.1600,0.870361,-1.624043,0.556665,0.743732
0.1700,0.853619,-1.724074,0.564362,0.795418
0.1800,0.835884,-1.822736,0.572570,0.846103
0.1900,0.817171,-1.919553,0.581278,0.895056
0.2000,0.797501,-2.013966,0.590463,0.941412
0.2100,0.776901,-2.105337,0.600094,0.984184
0.2200,0.755406,-2.192963,0.610131,1.022272
0.2300,0.733057,-2.276090,0.620520,1.054495
0.2400,0.709902,-2.353943,0.631197,1.079636
0.2500,0.685998,-2.425765,0.642085,1.096495
0.2600,0.661409,-2.490856,0.653096,1.103953
0.2700,0.636206,-2.548621,0.664130,1.101044
0.2800,0.610463,-2.598604,0.675079,1.087012
0.2900,0.584260,-2.640528,0.685831,1.061366
0.3000,0.557680,-2.674302,0.696267,1.023904
0.3100,0.530801,-2.700027,0.706270,0.974716
0.3200,0.503705,-2.717976,0.715724,0.914169
0.3300,0.476466,-2.728561,0.724518,0.842859
0.3400,0.449157,-2.732296,0.732548,0.761561
0.3500,0.421841,-2.729757,0.739718,0.671170
0.3600,0.394580,-2.721538,0.745944,0.572644
0.3700,0.367428,-2.708220,0.751147,0.466954
0.3800,0.340431,-2.690342,0.755262,0.355047
0.3900,0.313634,-2.668389,0.758231,0.237817
0.4000,0.287076,-2.642774,0.760004,0.116089
0.4100,0.260790,-2.613841,0.760540,-0.009391
0.4200,0.234809,-2.581861,0.759806,-0.137959
0.4300,0.209162,-2.547038,0.757772,-0.269025
0.4400,0.183877,-2.509514,0.754418,-0.402074
0.4500,0.158980,-2.469381,0.749726,-0.536656
0.4600,0.134498,-2.426680,0.743681,-0.672381
0.4700,0.110455,-2.381417,0.736276,-0.808906
0.4800,0.086878,-2.333567,0.727502,-0.945938
0.4900,0.063793,-2.283079,0.717356,-1.083220
0.5000,0.041226,-2.229885,0.705837,-1.220531
0.5100,0.019204,-2.173904,0.692946,-1.357681
0.5200,-0.002243,-2.115048,0.678685,-1.494507
0.5300,-0.023087,-2.053223,0.663057,-1.630874
0.5400,-0.043297,-1.988339,0.646069,-1.766669
0.5500,-0.062843,-1.920310,0.627726,-1.901804
0.5600,-0.081692,-1.849054,0.608035,-2.036211
0.5700,-0.099813,-1.774505,0.587004,-2.169845
0.5800,-0.117171,-1.696607,0.564641,-2.302678
0.5900,-0.133734,-1.615322,0.540954,-2.434701
0.6000,-0.149466,-1.530635,0.515950,-2.565920
0.6100,-0.164335,-1.442553,0.489638,-2.696351
0.6200,-0.178306,-1.351115,0.462025,-2.826015
0.6300,-0.191347,-1.256394,0.433120,-2.954934
0.6400,-0.203424,-1.158509,0.402929,-3.083114
0.6500,-0.214507,-1.057631,0.371460,-3.210537
0.6600,-0.224567,-0.953997,0.338721,-3.337143
0.6700,-0.233579,-0.847927,0.304721,-3.462802
0.6800,-0.241519,-0.739841,0.269469,-3.587294
0.6900,-0.248370,-0.630283,0.232980,-3.710267
0.7000,-0.254122,-0.519949,0.195270,-3.831201
0.7100,-0.258770,-0.409713,0.156365,-3.949362
0.7200,-0.262320,-0.300659,0.116296,-4.063759
0.7300,-0.264791,-0.194099,0.075107,-4.173101
0.7400,-0.266216,-0.091587,0.032856,-4.275776
0.7500,-0.266642,0.005098,-0.010380,-4.369858
0.7600,-0.266140,0.093999,-0.054505,-4.453152
0.7700,-0.264795,0.173076,-0.099400,-4.523310
0.7800,-0.262717,0.240340,-0.144920,-4.577998
0.7900,-0.260034,0.294039,-0.190901,-4.615128
0.8000,-0.256886,0.332840,-0.237159,-4.633094
0.8100,-0.253429,0.356002,-0.283496,-4.630998
0.8200,-0.249819,0.363475,-0.329711,-4.608782
