t,x1,x2,p1,p2,Ptot,E,Erel
0.0,0.0,1.1,0.0,0.0,0.0,5.0000000000000086e-2,0.0
1.0e-2,5.000000000000004e-5,1.09995,1.0000000000000009e-2,-1.0000000000000009e-2,0.0,5.000004999999988e-2,9.999999958654176e-7
2.0e-2,1.999000000000001e-4,1.0998001,1.9979999999999998e-2,-1.9979999999999998e-2,0.0,5.000019960020003e-2,3.992003998892761e-6
3.0e-2,4.4940020000000004e-4,1.0995505998,2.9920039999999995e-2,-2.9920039999999995e-2,0.0,5.000044760439677e-2,8.95208793372236e-6
4.0e-2,7.980015995999999e-4,1.0992019984003998,3.980023991999997e-2,-3.980023991999997e-2,0.0,5.000079202954854e-2,1.5840590969068397e-5
5.0e-2,1.2450069960007995e-3,1.098754993003999,4.960083936015996e-2,-4.960083936015996e-2,0.0,5.000123012163242e-2,2.4602432646680898e-5
6.0e-2,1.7895223784095975e-3,1.0982104776215904,5.930223712159964e-2,-5.930223712159964e-2,0.0,5.0001758377663734e-2,3.516755327295778e-5
7.0e-2,2.4304587160615763e-3,1.0975695412839386,6.888503040879614e-2,-6.888503040879614e-2,0.0,5.000237257370741e-2,4.7451474146503666e-5
8.0e-2,3.166534136281432e-3,1.0968334658637189,7.833005363517503e-2,-7.833005363517503e-2,0.0,5.0003067798651546e-2,6.135597302919782e-5
9.0e-2,3.996276488228725e-3,1.0960037235117717,8.761841675428363e-2,-8.761841675428363e-2,0.0,5.0003838493477705e-2,7.676986955237872e-5
0.1,4.918026287199561e-3,1.0950819737128008,9.673154303988364e-2,-9.673154303988364e-2,0.0,5.000467849570983e-2,9.356991419490185e-5
0.11,5.929940033595998e-3,1.0940700599664044,0.10565120623940388,-0.10565120623940388,0.0,5.0005581088690354e-2,1.1162177380535912e-4
0.12,7.029993899925245e-3,1.092970006100075,0.11435956702644533,-0.11435956702644533,0.0,5.000653905528561e-2,1.3078110571051993e-4
0.13,8.21598777845464e-3,1.0917840122215456,0.12283920867943386,-0.12283920867943386,0.0,5.0007544735594746e-2,1.5089471189319554e-4
0.14,9.485549681427126e-3,1.090514450318573,0.1310731719150635,-0.1310731719150635,0.0,5.000859008819807e-2,1.7180176395972772e-4
0.15,1.0836140485036758e-2,1.0891638595149633,0.13904498880686306,-0.13904498880686306,0.0,5.000966675445624e-2,1.9333508912311415e-4
0.16,1.2265059007676318e-2,1.0877349409923236,0.14673871572104882,-0.14673871572104882,0.0,5.001076612534576e-2,2.1532250691347305e-4
0.17,1.3769447412300524e-2,1.0862305525876994,0.1541389652037925,-0.1541389652037925,0.0,5.00118794102971e-2,2.3758820594021971e-4
0.18,1.534629692210013e-2,1.0846537030779,0.1612309367561286,-0.1612309367561286,0.0,5.001299770748378e-2,2.5995414967394615e-4
0.19,1.6992453838055532e-2,1.0830075461619446,0.16800044643495246,-0.16800044643495246,0.0,5.0014112075001366e-2,2.822415000255924e-4
0.2,1.8704625846334824e-2,1.0812953741536653,0.1744339552209064,-0.1744339552209064,0.0,5.0015213602367145e-2,3.042720473411803e-4
0.21,2.047938860292145e-2,1.0795206113970788,0.18051859609641854,-0.18051859609641854,0.0,5.001629348176846e-2,3.2586963536751447e-4
0.22,2.231319258230223e-2,1.0776868074176982,0.18624219977973785,-0.18624219977973785,0.0,5.0017343078489755e-2,3.468615697933824e-4
0.23,2.4202370176518405e-2,1.0757976298234821,0.19159331906349772,-0.19159331906349772,0.0,5.001835399995527e-2,3.670799991037359e-4
0.24,2.6143143030381545e-2,1.073856856969619,0.1965612517091306,-0.1965612517091306,0.0,5.001931816283709e-2,3.8636325674010143e-4
0.25,2.8131629598183924e-2,1.0718683704018166,0.2011360618513452,-0.2011360618513452,0.0,5.0020227857688886e-2,4.0455715377599107e-4
0.26,3.0163852906789936e-2,1.0698361470932107,0.20530859986985714,-0.20530859986985714,0.0,5.0021075810590655e-2,4.2151621181138395e-4
0.27,3.223574850958237e-2,1.0677642514904184,0.20907052068862936,-0.20907052068862936,0.0,5.002185524131099e-2,4.3710482621805915e-4
0.28,3.434317261535564e-2,1.0656568273846452,0.21241430046602433,-0.21241430046602433,0.0,5.0022559917521726e-2,4.511983504328069e-4
0.29,3.6481910375898194e-2,1.0635180896241025,0.21533325164248726,-0.21533325164248726,0.0,5.0023184204631914e-2,4.6368409263655626e-4
0.3,3.8647684315688956e-2,1.0613523156843119,0.2178215363156652,-0.2178215363156652,0.0,5.0023723110841946e-2,4.744622168371951e-4
0.31,4.083616288684834e-2,1.0591638371131527,0.21987417791621183,-0.21987417791621183,0.0,5.002417232705768e-2,4.8344654115184323e-4
0.32,4.304296913223403e-2,1.056957030867767,0.22148707116092606,-0.22148707116092606,0.0,5.002452826134622e-2,4.905652269227003e-4
0.33,4.5263689439355256e-2,1.0547363105606455,0.2226569902633184,-0.2226569902633184,0.0,5.002478806765704e-2,4.957613531390839e-4
0.34,4.749388236759777e-2,1.0525061176324029,0.2233815953851841,-0.2233815953851841,0.0,5.0024949668578886e-2,4.989933715759945e-4
0.35000000000000003,4.9729087531105096e-2,1.0502709124688956,0.2236594373162794,-0.2236594373162794,0.0,5.0025011771950775e-2,5.002354390137844e-4
0.36,5.196483451955021e-2,1.0480351654804505,0.22348996037274219,-0.22348996037274219,0.0,5.0024973881194174e-2,4.994776238817491e-4
0.37,5.419665183895622e-2,1.0458033481610445,0.22287350350845947,-0.22287350350845947,0.0,5.002483629928354e-2,4.967259856690489e-4
0.38,5.642007585468432e-2,1.0435799241453165,0.22181129963715984,-0.22181129963715984,0.0,5.0024600126323815e-2,4.920025264745767e-4
0.39,5.863065971870306e-2,1.0413693402812978,0.2203054731665859,-0.2203054731665859,0.0,5.002426725075403e-2,4.853450150789354e-4
0.4,6.082398226328438e-2,1.0391760177367164,0.2183590357496788,-0.2183590357496788,0.0,5.002384033424722e-2,4.768066849426814e-4
0.41000000000000003,6.299565684333913e-2,1.0370043431566618,0.21597588026127232,-0.21597588026127232,0.0,5.002332279042776e-2,4.6645580855347787e-4
0.42,6.514134010970721e-2,1.0348586598902938,0.21316077301234332,-0.21316077301234332,0.0,5.0022718757576e-2,4.5437515151833176e-4
0.43,6.725674069585588e-2,1.0327432593041452,0.20991934421738964,-0.20991934421738964,0.0,5.002203306553869e-2,4.4066131077213834e-4
0.44,6.933762780061284e-2,1.0306623721993884,0.2062580767340012,-0.2062580767340012,0.0,5.0021271197109335e-2,4.254239421849763e-4
0.45,7.137983964976856e-2,1.0286201603502327,0.20218429309714475,-0.20218429309714475,0.0,5.00204392441879e-2,4.087848837562573e-4
0.46,7.337929181962474e-2,1.0266207081803767,0.19770614087409402,-0.19770614087409402,0.0,5.0019543859069926e-2,3.908771813967975e-4
0.47000000000000003,7.533198540584168e-2,1.0246680145941598,0.19283257636929513,-0.19283257636929513,0.0,5.0018592201254784e-2,3.718440250939641e-4
0.48,7.723401502124695e-2,1.0227659849787545,0.18757334671175765,-0.18757334671175765,0.0,5.001759188019855e-2,3.518376039693399e-4
0.49,7.908157660660972e-2,1.0209184233933917,0.18193897036079665,-0.18193897036079665,0.0,5.001655089446824e-2,3.310178893631271e-4
0.5,8.087097503875927e-2,1.0191290249612421,0.17594071606911404,-0.17594071606911404,0.0,5.00154775677857e-2,3.095513557123392e-4
0.51,8.259863152083131e-2,1.01740136847917,0.1695905803452932,-0.1695905803452932,0.0,5.001438048247121e-2,2.8760964942253726e-4
0.52,8.42610907398617e-2,1.0157389092601397,0.1629012634607818,-0.1629012634607818,0.0,5.001326841081882e-2,2.653682163747391e-4
0.53,8.585502777741236e-2,1.014144972222589,0.1558861440493488,-0.1558861440493488,0.0,5.001215024495358e-2,2.4300489906994808e-4
0.54,8.737725475940819e-2,1.0126227452405934,0.14855925234981715,-0.14855925234981715,0.0,5.001103492572951e-2,2.2069851458847396e-4
0.55,8.88247272318852e-2,1.0111752727681165,0.14093524214558587,-0.14093524214558587,0.0,5.0009931371239366e-2,1.98627424785602e-4
0.56,9.019455024989843e-2,1.0098054497501032,0.13302936145706343,-0.13302936145706343,0.0,5.0008848405504895e-2,1.7696811009618144e-4
0.5700000000000001,9.148398416741188e-2,1.0085160158325897,0.12485742204562683,-0.12485742204562683,0.0,5.00077946879201e-2,1.5589375840022152e-4
0.58,9.269045011659051e-2,1.007309549883411,0.11643576779009898,-0.11643576779009898,0.0,5.000677864401057e-2,1.355728802096554e-4
0.59,9.381153516553596e-2,1.0061884648344657,0.10778124199899095,-0.10778124199899095,0.0,5.000580839806351e-2,1.1616796126850939e-4
0.6,9.484499714415034e-2,1.0051550028558514,9.891115372388493e-2,-9.891115372388493e-2,0.0,5.000489170816547e-2,9.783416330774714e-5
0.61,9.578876912847642e-2,1.0042112308715254,8.984324314133116e-2,-8.984324314133116e-2,0.0,5.000403590416899e-2,8.071808337811723e-5
0.62,9.664096357454555e-2,1.0033590364254563,8.059564607249474e-2,-8.059564607249474e-2,0.0,5.000324782908278e-2,6.495658165392426e-5
0.63,9.739987609346559e-2,1.0026001239065363,7.118685771151331e-2,-7.118685771151331e-2,0.0,5.000253378435524e-2,5.0675687103124335e-5
0.64,9.806398886019871e-2,1.0019360111398032,6.163569563510887e-2,-6.163569563510887e-2,0.0,5.000189947948804e-2,3.7989589759118635e-5
0.65,9.863197364921143e-2,1.0013680263507905,5.196126216743421e-2,-5.196126216743421e-2,0.0,5.000134998638284e-2,2.6999727655019298e-5
0.66,9.910269449092574e-2,1.0008973055090762,4.218290617542468e-2,-4.218290617542468e-2,0.0,5.000088969878651e-2,1.7793975728430636e-5
0.67,9.947520994365819e-2,1.0005247900563439,3.2320184371064306e-2,-3.2320184371064306e-2,0.0,5.0000522297158664e-2,1.0445943171566422e-5
0.68,9.974877497650332e-2,1.0002512250234987,2.239282219796182e-2,-2.239282219796182e-2,0.0,5.00002507192428e-2,5.0143848542849505e-6
0.6900000000000001,9.992284245939545e-2,1.0000771575406064,1.2420674380463386e-2,-1.2420674380463386e-2,0.0,5.000007713657593e-2,1.542731516840365e-6
0.7000000000000001,9.999706425736879e-2,1.000002935742633,2.4236852142040122e-3,-2.4236852142040122e-3,0.0,5.000000293712502e-2,5.8742498643127206e-8
0.71,9.997129192682738e-2,1.0000287080731742,-7.578151322483779e-3,7.578151322483779e-3,0.0,5.000002871418895e-2,5.742837773381461e-7
0.72,9.984557701243232e-2,1.0001544229875692,-1.7564831556526623e-2,1.7564831556526623e-2,0.0,5.000015426165411e-2,3.085233080540867e-6
0.73,9.96201709440124e-2,1.000379829055989,-2.7516382127456412e-2,2.7516382127456412e-2,0.0,5.000037857564299e-2,7.571512858073324e-6
