t,x,y,E
0.0,1.0e9,0.0,-3.33715e34
60.0,9.998798734239334e8,1.5499868950341996e7,-3.3371499999993e34
120.0,9.995195225590639e8,3.0996014008369684e7,-3.337149999997205e34
180.0,9.98919033988444e8,4.64847121766802e7,-3.3371499999937105e34
240.0,9.980785519940332e8,6.196224224747827e7,-3.3371499999888184e34
300.0,9.969982785220132e8,7.742488569684187e7,-3.3371499999825327e34
360.0,9.956784731342398e8,9.286892757834215e7,-3.3371499999748524e34
420.0,9.941194529458448e8,1.082906574158029e8,-3.337149999965781e34
480.0,9.923215925490013e8,1.236863700949844e8,-3.3371499999553186e34
540.0,9.902853239228727e8,1.3905236675397757e8,-3.33714999994347e34
600.0,9.880111363297645e8,1.5438495567209393e8,-3.3371499999302375e34
660.0,9.854995761975074e8,1.6968045315703765e8,-3.337149999915622e34
720.0,9.827512469880967e8,1.8493518443014622e8,-3.3371499998996307e34
780.0,9.797668090526217e8,2.0014548450948688e8,-3.3371499998822626e34
840.0,9.765469794725188e8,2.1530769909059638e8,-3.337149999863526e34
900.0,9.730925318871876e8,2.3041818542465204e8,-3.3371499998434225e34
960.0,9.694042963080112e8,2.4547331319386303e8,-3.337149999821961e34
1020.0,9.654831589188247e8,2.6046946538387126e8,-3.337149999799143e34
1080.0,9.613300618628814e8,2.7540303915295196e8,-3.3371499997749754e34
1140.0,9.569460030163668e8,2.90270446697805e8,-3.337149999749465e34
1200.0,9.523320357485151e8,3.050681161157287e8,-3.3371499997226153e34
1260.0,9.474892686683869e8,3.197924922629685e8,-3.337149999694434e34
1320.0,9.424188653583683e8,3.3444003760903436e8,-3.3371499996649295e34
1380.0,9.371220440944551e8,3.4900723308678126e8,-3.337149999634106e34
1440.0,9.316000775533913e8,3.634905789380482e8,-3.3371499996019717e34
1500.0,9.258542925067302e8,3.7788659555465263e8,-3.337149999568537e34
1560.0,9.198860695018935e8,3.92191824314538e8,-3.337149999533807e34
1620.0,9.136968425303046e8,4.0640282841287285e8,-3.337149999497792e34
1680.0,9.072880986826751e8,4.2051619368790215e8,-3.3371499994605e34
1740.0,9.006613777915303e8,4.345285294413521e8,-3.3371499994219384e34
1800.0,8.938182720610555e8,4.484364692531911e8,-3.3371499993821184e34
1860.0,8.867604256843572e8,4.622366717905506e8,-3.337149999341049e34
1920.0,8.794895344482265e8,4.759258216106121e8,-3.3371499992987395e34
1980.0,8.720073453255041e8,4.895006299572665e8,-3.337149999255199e34
2040.0,8.643156560551422e8,5.029578355513545e8,-3.33714999921044e34
2100.0,8.564163147100657e8,5.162942053742983e8,-3.3371499991644726e34
2160.0,8.48311219252937e8,5.295065354449354e8,-3.3371499991173084e34
2220.0,8.400023170799297e8,5.42591651589369e8,-3.337149999068958e34
2280.0,8.314916045526239e8,5.555464102036488e8,-3.337149999019435e34
