t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.000000,0.000000,0.300000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,-1.000000,0.000000,0.000000,0.000000,150.000000
0.000500,0.002000,0.298998,0.000000,0.997191,0.000000,0.000000,0.074894,1.999784,-1.004604,0.000000,0.000000,0.000000,149.998958
0.001000,0.004000,0.297991,0.000000,0.988782,0.000000,0.000000,0.149368,1.999568,-1.009208,0.000000,0.000000,0.000000,149.997917
0.001500,0.005999,0.296979,0.000000,0.974818,0.000000,0.000000,0.223001,1.999352,-1.013810,0.000000,0.000000,0.000000,149.996875
0.002000,0.007998,0.295963,0.000000,0.955379,0.000000,0.000000,0.295382,1.999136,-1.018412,0.000000,0.000000,0.000000,149.995833
0.002500,0.009997,0.294942,0.000000,0.930574,0.000000,0.000000,0.366103,1.998920,-1.023013,0.000000,0.000000,0.000000,149.994792
0.003000,0.011996,0.293917,0.000000,0.900543,0.000000,0.000000,0.434767,1.998705,-1.027614,0.000000,0.000000,0.000000,149.993750
0.003500,0.013995,0.292887,0.000000,0.865454,0.000000,0.000000,0.500989,1.998489,-1.032213,0.000000,0.000000,0.000000,149.992708
0.004000,0.015993,0.291853,0.000000,0.825504,0.000000,0.000000,0.564397,1.998274,-1.036812,0.000000,0.000000,0.000000,149.991667
0.004500,0.017991,0.290814,0.000000,0.780918,0.000000,0.000000,0.624634,1.998059,-1.041410,0.000000,0.000000,0.000000,149.990625
0.005000,0.019989,0.289770,0.000000,0.731946,0.000000,0.000000,0.681363,1.997844,-1.046007,0.000000,0.000000,0.000000,149.989584
0.005500,0.021987,0.288722,0.000000,0.678864,0.000000,0.000000,0.734264,1.997629,-1.050604,0.000000,0.000000,0.000000,149.988542
0.006000,0.023984,0.287669,0.000000,0.621969,0.000000,0.000000,0.783042,1.997414,-1.055199,0.000000,0.000000,0.000000,149.987500
0.006500,0.025982,0.286611,0.000000,0.561582,0.000000,0.000000,0.827421,1.997200,-1.059794,0.000000,0.000000,0.000000,149.986459
0.007000,0.027979,0.285549,0.000000,0.498042,0.000000,0.000000,0.867153,1.996985,-1.064388,0.000000,0.000000,0.000000,149.985417
0.007500,0.029976,0.284482,0.000000,0.431705,0.000000,0.000000,0.902015,1.996771,-1.068981,0.000000,0.000000,0.000000,149.984376
0.008000,0.031972,0.283411,0.000000,0.362944,0.000000,0.000000,0.931811,1.996557,-1.073574,0.000000,0.000000,0.000000,149.983334
0.008500,0.033969,0.282335,0.000000,0.292145,0.000000,0.000000,0.956374,1.996343,-1.078165,0.000000,0.000000,0.000000,149.982293
0.009000,0.035965,0.281255,0.000000,0.219706,0.000000,0.000000,0.975566,1.996129,-1.082756,0.000000,0.000000,0.000000,149.981251
0.009500,0.037961,0.280170,0.000000,0.146034,0.000000,0.000000,0.989280,1.995915,-1.087346,0.000000,0.000000,0.000000,149.980210
0.010000,0.039957,0.279080,0.000000,0.071542,0.000000,0.000000,0.997438,1.995701,-1.091935,0.000000,0.000000,0.000000,149.979168
0.010500,0.041953,0.277986,0.000000,-0.003351,0.000000,0.000000,0.999994,1.995488,-1.096523,0.000000,0.000000,0.000000,149.978127
0.011000,0.043948,0.276887,0.000000,-0.078225,0.000000,0.000000,0.996936,1.995274,-1.101111,0.000000,0.000000,0.000000,149.977085
0.011500,0.045943,0.275784,0.000000,-0.152659,0.000000,0.000000,0.988279,1.995061,-1.105698,0.000000,0.000000,0.000000,149.976044
0.012000,0.047938,0.274676,0.000000,-0.226235,0.000000,0.000000,0.974073,1.994847,-1.110283,0.000000,0.000000,0.000000,149.975002
0.012500,0.049933,0.273563,0.000000,-0.298540,0.000000,0.000000,0.954397,1.994634,-1.114869,0.000000,0.000000,0.000000,149.973961
0.013000,0.051927,0.272446,0.000000,-0.369169,0.000000,0.000000,0.929362,1.994421,-1.119453,0.000000,0.000000,0.000000,149.972919
0.013500,0.053922,0.271324,0.000000,-0.437724,0.000000,0.000000,0.899109,1.994208,-1.124036,0.000000,0.000000,0.000000,149.971878
